TimeWindow  TotalIterations  Iterations  Convergence  AvgConvRate(Displacements0)  DeletedColumns  
316  633  2  1  0.0106872306459126  0  
317  635  2  1  0.0095992299572755  0  
318  637  2  1  0.0102934326863109  0  
319  639  2  1  0.0099127020759053  0  
320  641  2  1  0.0099285108213599  0  
321  643  2  1  0.0100501340123119  0  
322  645  2  1  0.0097481538261230  0  
323  647  2  1  0.0100545159848204  0  
324  649  2  1  0.0096221336060607  0  
325  651  2  1  0.0097265208349574  0  
326  653  2  1  0.0100652521261108  0  
327  655  2  1  0.0100387665075753  0  
328  657  2  1  0.0097429787153417  0  
329  659  2  1  0.0094732305553592  0  
330  661  2  1  0.0094647661945143  0  
331  663  2  1  0.0095414768058166  0  
332  665  2  1  0.0099034744756017  0  
333  667  2  1  0.0101030196951192  0  
334  669  2  1  0.0091979495127339  0  
335  671  2  1  0.0094273154038479  0  
336  673  2  1  0.0101181213283467  0  
337  675  2  1  0.0095708341100464  0  
338  677  2  1  0.0095242501317304  0  
339  679  2  1  0.0098634793043087  0  
340  681  2  1  0.0083262117883916  0  
341  683  2  1  0.0094231027315199  0  
342  685  2  1  0.0092281447549095  0  
343  687  2  1  0.0093177591099810  0  
344  689  2  1  0.0090169902080907  0  
345  691  2  1  0.0094534284413539  0  
346  693  2  1  0.0091552975579716  0  
